Atlanta University Center,"Atlanta University Center, Atlanta, GA 30314 US",7/1/14 0:00,http://www.auctr.edu/,33.7505746,-84.4118579,ChIJSTTRA2kD9YgRQnqkUOcWZjE
University of Ottawa,"University of Ottawa, Ottawa, ON K1N 6N5 CA",7/1/16 0:00,http://biblio.uottawa.ca/en,45.4227425,-75.6824915,ChIJcZwxWAQFzkwRO5kiX39gRVE
University of Houston,"University of Houston, Houston, TX 77204-2000 US",7/1/13 0:00,http://info.lib.uh.edu/,29.7164212,-95.3390573,ChIJu_ER_lq-QIYRnUSeWFtgKLM
University of Rochester,"University of Rochester, Rochester, NY 14627 US",7/1/16 0:00,http://www.library.rochester.edu/,43.1318593,-77.623931,ChIJLa9Nz8e01okRcFZOtGiYAm8
Temple University,"Temple University, Philadelphia, PA 19122 US",7/1/13 0:00,http://library.temple.edu/,39.9811932,-75.15535059999999,ChIJDzmJJf-3xokR3i50d5pyWAU
University of Delaware,"University of Delaware, Newark, DE 19717-5267 US",7/1/11 0:00,http://library.udel.edu/,39.6779504,-75.7506114,ChIJpelbVi6qx4kRceNYY0T-LsA
Dartmouth College,"Dartmouth College, Hanover, NH 03755-3525 US",7/1/11 0:00,http://library.dartmouth.edu/,43.7044406,-72.2886934,ChIJEYl1T93JtEwRzAi5TUxXuL0
National Library of Medicine,"National Library of Medicine, Bethesda, MD 20894 US",7/1/11 0:00,http://www.nlm.nih.gov/,38.9958845,-77.0988509,ChIJQVh__l3Jt4kR0KrY_CVPrBI
North Carolina State University,"North Carolina State University, Raleigh, NC 27695-7111 US",7/1/11 0:00,http://www.lib.ncsu.edu/,35.7846633,-78.6820946,ChIJOXnA46L1rIkRUXe2ZJ3s8jA
Columbia University Libraries,"Columbia University Libraries, New York, NY 10027 US",7/1/11 0:00,#,40.8077432,-73.95972060000001,ChIJrXUAJz72wokRDWxErC408iU
The Ohio State University,"The Ohio State University, Columbus, OH 43210 US",7/1/13 0:00,http://library.osu.edu/,39.9990626,-83.01733860000002,ChIJqS2kpY-OOIgRFnTLCrszXxo
Northeastern University,"Northeastern University, Boston, MA 02115-5005 US",7/1/13 0:00,http://library.northeastern.edu/,42.3398067,-71.0891717,ChIJ4VzPmRl644kRjLkiZeYAe8k
University of Minnesota,"University of Minnesota, Minneapolis, MN 55455 US",7/1/11 0:00,http://www.lib.umn.edu/,44.97399,-93.2277285,ChIJ_8cK92kts1IReJnfUqEXEuM
Massachusetts Institute of Technology,"Massachusetts Institute of Technology, Cambridge, MA 02139-4307 US",7/1/11 0:00,http://libraries.mit.edu/,42.360091,-71.09416,ChIJh2oa9apw44kRPCAIs6WO4NA
University of Arizona,"University of Arizona, Tucson, AZ 85721-0055 US",7/1/11 0:00,http://www.arizona.edu/topics/libraries,32.231063,-110.9492754,ChIJe__a_qlx1oYRaSI04F8V74I
The George Washington University,"The George Washington University, Washington, DC 20052 US",7/1/11 0:00,#,38.8997145,-77.0485992,ChIJpXo8DrG3t4kRCKgn3Bv0e9o
Smithsonian Institution,"Smithsonian Institution, Washington, DC 20013-7012 US",7/1/11 0:00,http://www.sil.si.edu/,38.8912662,-77.0260654,ChIJx7K17Ji3t4kRr3VvqMTw7cc
Yale University,"Yale University, New Haven, CT 06520-8240 US",7/1/11 0:00,http://www.library.yale.edu/,41.3163244,-72.92234309999999,ChIJRUlizbbZ54kRJwTTtMSiNK4
Mississippi State University,"Mississippi State University, Mississippi State, MS 39762-5408 US",8/8/16 0:00,http://lib.msstate.edu/,33.4551742,-88.79437659999999,ChIJqwF75D41gYgRK3IANU9C8Xs
Oregon State University,"Oregon State University, Corvallis, OR 97331-4501 US",7/1/13 0:00,http://osulibrary.oregonstate.edu/,44.5637806,-123.2794442,ChIJQ7tQ6rlAwFQRn7T3Adzx_6Y
University of North Texas,"University of North Texas, Denton, TX 76203-5017 US",7/1/11 0:00,http://www.library.unt.edu/,33.207488,-97.1525862,ChIJyY815HPKTYYRCmlH-kWfvQs
Pennsylvania State University,"Pennsylvania State University, University Park, PA 16802 US",7/1/11 0:00,http://www.libraries.psu.edu/psul/home.html,40.8084075,-77.8638835,ChIJdS6tMSKmzokRcdFFfBnaPuM
West Virginia University,"West Virginia University, Morgantown, WV 26506 US",7/9/14 0:00,https://www.libraries.wvu.edu/,39.6361396,-79.95593579999999,ChIJ7dQgR3x7NYgRMNj61lX1ck0
University of Kentucky,"University of Kentucky, Lexington, KY 40506-0456 US",7/1/11 0:00,http://libraries.uky.edu/,38.0306511,-84.5039697,ChIJZQxUxbZEQogRZ0KY7kqd_44
"University of California, Santa Barbara","University of California, Santa Barbara, Santa Barbara, CA 93106-9010 US",7/1/15 0:00,http://www.library.ucsb.edu/,34.4139629,-119.848947,ChIJN0sx82c_6YARws62XH5rlU4
Johns Hopkins University,"Johns Hopkins University, Baltimore, MD 21218-2683 US",7/1/11 0:00,http://www.library.jhu.edu/#,39.3259098,-76.62155039999999,ChIJRayt894EyIkRiUaBT5soPXY
"University of California, Berkeley","University of California, Berkeley, Berkeley, CA 94720-6000 US",7/1/11 0:00,http://www.lib.berkeley.edu/node,37.8718992,-122.2585399,ChIJwdcixRh3j4ARiTJrO-o0gNo
New York Public Library,"New York Public Library, New York, NY 10018-2788 US",7/1/11 0:00,http://digital.nypl.org/,40.75318230000001,-73.9822534,ChIJqaiomQBZwokRTHOaUG7fUTs
Middle Tennessee State University,"Middle Tennessee State University, Murfreesboro, TN 37132 US",8/27/14 0:00,http://library.mtsu.edu/,35.8434555,-86.3706605,ChIJdQnZJG_4Y4gRwC6GYXpt_E8
University of Miami,"University of Miami, Coral Gables, FL 33146 US",7/1/11 0:00,http://library.miami.edu/,25.7191685,-80.2771253,ChIJfTjGHwK42YgRzjHwQarPwDg
Montana State University,"Montana State University, Bozeman, MT 59717-3220 US",3/1/13 0:00,http://www.lib.montana.edu/,45.6667557,-111.04981,ChIJ8xcP1Q5FRVMR0ZG9AE5d_tQ
Middlebury College,"Middlebury College, Middlebury, VT 05753 US",7/1/15 0:00,http://www.middlebury.edu/academics/lib,44.00825950000001,-73.1773152,ChIJj7_gV_5ctUwRuyfdhq0Zg-k
